Country;NUTS;geo;label;na_item;vintage;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
AT;2;ATZZ;Extra-regio;B6N;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
AT;0;AT;Austria;B6N;2019;127877;130119;132893;137637;142805;152461;159699;167319;172384;172401;173778;178320;185380;185562;190712;193118;201013;207295;;;
AT;2;AT11;Burgenland (AT);B6N;2019;4061;4175;4277;4459;4746;5047;5284;5565;5715;5730;5820;5925;6266;6201;6405;6570;6791;7067;;;
AT;2;AT12;Niederösterreich;B6N;2019;24821;25391;25872;26822;27832;29775;31325;33015;34047;34129;34664;35559;36896;36911;37746;38189;39878;40844;;;
AT;2;AT13;Wien;B6N;2019;27504;27667;28265;29125;29993;31756;33120;34612;35532;35692;35813;36769;37981;37913;38961;39459;41025;42159;;;
AT;2;AT21;Kärnten;B6N;2019;8282;8478;8626;8939;9249;9927;10328;10799;11047;11023;11115;11279;11746;11689;12023;12129;12548;12939;;;
AT;2;AT22;Steiermark;B6N;2019;17831;18184;18595;19229;19885;21286;22300;23437;24182;24067;24313;24890;25866;25872;26595;26911;27887;28856;;;
AT;2;AT31;Oberösterreich;B6N;2019;21312;21749;22125;22934;23993;25684;26954;28161;29136;29013;29131;29956;31097;31132;32058;32364;33676;34858;;;
AT;2;AT32;Salzburg;B6N;2019;8127;8278;8441;8737;9058;9719;10158;10621;10979;10999;11038;11332;11815;11886;12239;12384;12952;13371;;;
AT;2;AT33;Tirol;B6N;2019;10221;10414;10765;11243;11669;12455;13007;13593;14029;14020;14101;14541;15227;15383;15863;16113;16866;17499;;;
AT;2;AT34;Vorarlberg;B6N;2019;5717;5784;5927;6148;6380;6812;7223;7517;7719;7729;7783;8069;8485;8576;8822;8999;9389;9703;;;
AT;2;ATZZ;Extra-regio;B6N;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AT;2;ATZZ;Extra-regio;B6N;2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AT;0;AT;Austria;B6N;2020;127877;130119;132893;137637;142805;152461;159699;167319;172384;172401;173778;178320;179494;179324;183648;185925;193999;199627;206663;;
AT;2;AT11;Burgenland (AT);B6N;2020;4061;4175;4277;4459;4746;5047;5284;5565;5715;5730;5820;5925;6135;6061;6211;6365;6598;6858;7070;;
AT;2;AT12;Niederösterreich;B6N;2020;24821;25391;25872;26822;27832;29775;31325;33015;34047;34129;34664;35559;35818;35753;36571;36949;38668;39492;40933;;
AT;2;AT13;Wien;B6N;2020;27504;27667;28265;29125;29993;31756;33120;34612;35532;35692;35813;36769;36431;36272;37133;37616;39204;40181;41444;;
AT;2;AT21;Kärnten;B6N;2020;8282;8478;8626;8939;9249;9927;10328;10799;11047;11023;11115;11279;11417;11344;11579;11679;12116;12490;12894;;
AT;2;AT22;Steiermark;B6N;2020;17831;18184;18595;19229;19885;21286;22300;23437;24182;24067;24313;24890;25110;25074;25679;25970;26978;27862;28876;;
AT;2;AT31;Oberösterreich;B6N;2020;21312;21749;22125;22934;23993;25684;26954;28161;29136;29013;29131;29956;30237;30234;31014;31306;32648;33768;35072;;
AT;2;AT32;Salzburg;B6N;2020;8127;8278;8441;8737;9058;9719;10158;10621;10979;10999;11038;11332;11387;11447;11733;11884;12462;12876;13313;;
AT;2;AT33;Tirol;B6N;2020;10221;10414;10765;11243;11669;12455;13007;13593;14029;14020;14101;14541;14765;14876;15242;15490;16262;16790;17410;;
AT;2;AT34;Vorarlberg;B6N;2020;5717;5784;5927;6148;6380;6812;7223;7517;7719;7729;7783;8069;8194;8263;8487;8666;9063;9310;9649;;
AT;0;AT;Austria;D1;2014;103345;105585;107547;109981;112748;116421;122035;128190;134961;136224;138905;144343;150379;;;;;;;;
AT;2;AT11;Burgenland (AT);D1;2014;2316;2351;2422;2501;2543;2618;2744;2873;2951;3024;3115;3254;3397;;;;;;;;
AT;2;AT12;Niederösterreich;D1;2014;15906;16013;16375;16708;17050;17471;18406;19286;20352;20529;21017;21739;22598;;;;;;;;
AT;2;AT13;Wien;D1;2014;29273;29784;30375;30641;31248;32044;33452;35174;37164;37953;38438;39738;41371;;;;;;;;
AT;2;AT21;Kärnten;D1;2014;5995;6138;6244;6402;6609;6834;7206;7550;7891;7861;7993;8235;8509;;;;;;;;
AT;2;AT22;Steiermark;D1;2014;13460;13696;13877;14263;14909;15470;16139;16879;17718;17683;18147;18983;19705;;;;;;;;
AT;2;AT31;Oberösterreich;D1;2014;17217;17828;18003;18540;18952;19702;20642;21806;23028;23115;23426;24524;25697;;;;;;;;
AT;2;AT32;Salzburg;D1;2014;6833;7000;7200;7473;7676;7996;8392;8786;9218;9273;9516;9876;10339;;;;;;;;
AT;2;AT33;Tirol;D1;2014;7992;8269;8450;8772;9023;9362;9891;10372;10896;11016;11316;11805;12362;;;;;;;;
AT;2;AT34;Vorarlberg;D1;2014;4310;4451;4548;4636;4693;4878;5116;5417;5695;5716;5884;6136;6350;;;;;;;;
AT;2;ATZZ;Extra-regio;D1;2014;42;55;54;45;45;46;46;47;50;54;53;52;51;;;;;;;;
AT;0;AT;Austria;D1;2015;103345;105585;107547;109981;112748;116421;122035;128190;134961;136224;138905;144343;150342;154547;;;;;;;
AT;2;AT11;Burgenland (AT);D1;2015;2316;2351;2422;2501;2543;2618;2744;2873;2951;3024;3115;3254;3397;3518;;;;;;;
AT;2;AT12;Niederösterreich;D1;2015;15906;16013;16375;16708;17050;17471;18406;19286;20352;20529;21017;21739;22595;23187;;;;;;;
AT;2;AT13;Wien;D1;2015;29273;29784;30375;30641;31248;32044;33452;35174;37164;37953;38438;39738;41288;42261;;;;;;;
AT;2;AT21;Kärnten;D1;2015;5995;6138;6244;6402;6609;6834;7206;7550;7891;7861;7993;8235;8508;8668;;;;;;;
AT;2;AT22;Steiermark;D1;2015;13460;13696;13877;14263;14909;15470;16139;16879;17718;17683;18147;18983;19736;20193;;;;;;;
AT;2;AT31;Oberösterreich;D1;2015;17217;17828;18003;18540;18952;19702;20642;21806;23028;23115;23426;24524;25695;26573;;;;;;;
AT;2;AT32;Salzburg;D1;2015;6833;7000;7200;7473;7676;7996;8392;8786;9218;9273;9516;9876;10365;10671;;;;;;;
AT;2;AT33;Tirol;D1;2015;7992;8269;8450;8772;9023;9362;9891;10372;10896;11016;11316;11805;12361;12763;;;;;;;
AT;2;AT34;Vorarlberg;D1;2015;4310;4451;4548;4636;4693;4878;5116;5417;5695;5716;5884;6136;6346;6663;;;;;;;
